"filename", "language", "YAML", "Markdown", "Go", "JavaScript", "XML", "PostCSS", "HTML", "JSON", "Docker", "TypeScript", "MS SQL", "TypeScript JSX", "Properties", "JSON with Comments", "comment", "blank", "total"
"/Users/tau/Git/Hacks/auth-scope/frontend/src/features/approvals/ApprovalsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 2, 30
"/Users/tau/Git/Hacks/auth-scope/frontend/src/features/approvals/ExpansionReviewPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 2, 52
"/Users/tau/Git/Hacks/auth-scope/frontend/src/features/approvals/ProposalReviewPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 2, 49
"/Users/tau/Git/Hacks/auth-scope/frontend/src/features/audit/AuditPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"/Users/tau/Git/Hacks/auth-scope/frontend/src/features/connection/ConnectionPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 4, 56
"/Users/tau/Git/Hacks/auth-scope/frontend/src/features/containment/ContainmentDetailPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 2, 36
"/Users/tau/Git/Hacks/auth-scope/frontend/src/features/containment/ContainmentPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 20
"/Users/tau/Git/Hacks/auth-scope/frontend/src/features/dashboard/DashboardPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 7, 79
"/Users/tau/Git/Hacks/auth-scope/frontend/src/features/governance/GovernancePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 8, 126
"/Users/tau/Git/Hacks/auth-scope/frontend/src/features/missions/MissionDetailPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 3, 63
